"","Localidade","N_Infections","n_bird_individuals","RiquezaH","PrevalenceH"
"1","Aeroporto_de_BSB",10,242,7,0.0413223140495868
"2","Aeroporto_de_Salvador",0,161,1,0
"3","Aeroporto_Viracopos",2,150,4,0.0133333333333333
"4","Aiu1",5,62,4,0.0806451612903226
"5","Aracruz",6,84,4,0.0714285714285714
"6","Base_UFMT",0,94,1,0
"7","Bel1",11,320,9,0.034375
"8","Bocaiuva",1,295,2,0.00338983050847458
"9","Bra1",87,788,19,0.110406091370558
"10","Brasilandia_de_Minas",5,133,5,0.037593984962406
"11","Bru1",0,53,1,0
"12","Busca_Vida",1,169,2,0.00591715976331361
"13","Caratinga",1,126,2,0.00793650793650794
"14","Cha1",9,90,7,0.1
"15","Chapada_dos_Guimaraes",2,101,4,0.0198019801980198
"16","CLBI-Parnamirim/RN",108,1800,11,0.06
"17","ESEC-Serra_Negra_do_Norte/RN",118,933,15,0.126473740621651
"18","Esp1",41,244,13,0.168032786885246
"19","Fazenda_St._Maria",7,131,4,0.0534351145038168
"20","Felixlandia",16,175,7,0.0914285714285714
"21","Gra1",14,127,13,0.110236220472441
"22","Gui1",1,178,2,0.00561797752808989
"23","Gui2",21,304,9,0.0690789473684211
"24","Gui3",0,39,1,0
"25","Hual1",2,80,3,0.025
"26","Hual2",3,167,3,0.0179640718562874
"27","Hual3",23,157,10,0.146496815286624
"28","Hual4",27,352,15,0.0767045454545455
"29","Hual5",32,400,15,0.08
"30","Ime1",2,164,3,0.0121951219512195
"31","Ina1",3,211,4,0.014218009478673
"32","Ina2",1,208,2,0.00480769230769231
"33","Ina3",1,297,2,0.00336700336700337
"34","Jau1",2,116,2,0.0172413793103448
"35","Jequitinhonha",6,166,5,0.036144578313253
"36","Joi1",0,49,1,0
"37","Manga",7,120,6,0.0583333333333333
"38","Mata_Seca",18,461,13,0.0390455531453362
"39","Mic1",4,106,5,0.0377358490566038
"40","Mil1",18,214,13,0.0841121495327103
"41","Nat1",4,37,3,0.108108108108108
"42","Nova_Lima",0,164,1,0
"43","Pan1",3,110,4,0.0272727272727273
"44","Pan2",4,122,5,0.0327868852459016
"45","Parque_Nacional_de_Brasí_lia",4,258,4,0.0155038759689922
"46","Rond1",21,429,18,0.048951048951049
"47","Rond2",5,60,6,0.0833333333333333
"48","Rond3",0,176,1,0
"49","Rond4",0,117,1,0
"50","Rond5",6,136,4,0.0441176470588235
"51","RondIL",6,85,7,0.0705882352941176
"52","Saj1",3,55,3,0.0545454545454545
"53","Salto_da_Divisa",26,196,13,0.13265306122449
"54","Seb1",0,76,1,0
"55","Ser1",12,178,13,0.0674157303370786
"56","Sfr1",4,179,5,0.0223463687150838
"57","Sooretama",1,86,2,0.0116279069767442
"58","Sta1",5,156,5,0.032051282051282
"59","Taiama",0,44,1,0
"60","Tap1",1,39,2,0.0256410256410256
"61","Tap2",5,61,6,0.0819672131147541
"62","Varzea_Grande",2,38,3,0.0526315789473684
"63","Xing1",17,322,12,0.0527950310559006
