"","Localidade","N_Infections","n_bird_individuals","RiquezaH","PrevalenceP"
"1","Aeroporto_de_BSB",18,242,12,0.0743801652892562
"2","Aeroporto_de_Salvador",0,161,1,0
"3","Aeroporto_Viracopos",4,150,4,0.0266666666666667
"4","Aiu1",10,62,7,0.161290322580645
"5","Aracruz",20,84,11,0.238095238095238
"6","Base_UFMT",4,94,5,0.0425531914893617
"7","Bel1",48,320,35,0.15
"8","Bocaiuva",36,295,21,0.122033898305085
"9","Bra1",44,788,14,0.0558375634517767
"10","Brasilandia_de_Minas",40,133,22,0.300751879699248
"11","Bru1",3,53,4,0.0566037735849057
"12","Busca_Vida",2,169,3,0.0118343195266272
"13","Caratinga",47,126,19,0.373015873015873
"14","Cha1",13,90,10,0.144444444444444
"15","Chapada_dos_Guimaraes",8,101,4,0.0792079207920792
"16","CLBI-Parnamirim/RN",44,1800,19,0.0244444444444444
"17","ESEC-Serra_Negra_do_Norte/RN",73,933,17,0.0782422293676313
"18","Esp1",22,244,13,0.0901639344262295
"19","Fazenda_St._Maria",10,131,5,0.0763358778625954
"20","Felixlandia",48,175,21,0.274285714285714
"21","Gra1",45,127,15,0.354330708661417
"22","Gui1",12,178,12,0.0674157303370786
"23","Gui2",27,304,11,0.0888157894736842
"24","Gui3",1,39,2,0.0256410256410256
"25","Hual1",8,80,8,0.1
"26","Hual2",0,167,1,0
"27","Hual3",13,157,8,0.0828025477707006
"28","Hual4",35,352,22,0.0994318181818182
"29","Hual5",24,400,21,0.06
"30","Ime1",22,164,19,0.134146341463415
"31","Ina1",22,211,16,0.104265402843602
"32","Ina2",35,208,24,0.168269230769231
"33","Ina3",31,297,26,0.104377104377104
"34","Jau1",10,116,9,0.0862068965517241
"35","Jequitinhonha",40,166,17,0.240963855421687
"36","Joi1",6,49,6,0.122448979591837
"37","Manga",8,120,6,0.0666666666666667
"38","Mata_Seca",63,461,21,0.136659436008677
"39","Mic1",5,106,6,0.0471698113207547
"40","Mil1",23,214,13,0.107476635514019
"41","Nat1",5,37,5,0.135135135135135
"42","Nova_Lima",38,164,19,0.231707317073171
"43","Pan1",21,110,14,0.190909090909091
"44","Pan2",6,122,6,0.0491803278688525
"45","Parque_Nacional_de_Brasí_lia",7,258,4,0.0271317829457364
"46","Rond1",90,429,55,0.20979020979021
"47","Rond2",10,60,9,0.166666666666667
"48","Rond3",16,176,15,0.0909090909090909
"49","Rond4",17,117,8,0.145299145299145
"50","Rond5",32,136,16,0.235294117647059
"51","RondIL",16,85,12,0.188235294117647
"52","Saj1",7,55,5,0.127272727272727
"53","Salto_da_Divisa",54,196,20,0.275510204081633
"54","Seb1",6,76,5,0.0789473684210526
"55","Ser1",24,178,12,0.134831460674157
"56","Sfr1",18,179,11,0.100558659217877
"57","Sooretama",11,86,7,0.127906976744186
"58","Sta1",6,156,3,0.0384615384615385
"59","Taiama",4,44,3,0.0909090909090909
"60","Tap1",12,39,10,0.307692307692308
"61","Tap2",13,61,10,0.213114754098361
"62","Varzea_Grande",1,38,2,0.0263157894736842
"63","Xing1",24,322,20,0.0745341614906832
